HEADER,"GEMAS, agricultural soil, 0-20 cm, air dried, <2 mm",,,,,,,,,,
COMMENT DATASET,"field duplicates included, analytical duplicates and standards removed, ATTENTION: original instrument readings, including values below detection",,,,,,,,,,
SAMPLE IDENTIFIER,ID,,,,,,,,,,
COORDINATES,,,,,XCOO,YCOO,,,,,
COMMENT VARIABLES,,,,,,,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g
EXTRACTION,,,,,,,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia
METHOD,,,,,,,"ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15"
LDL,,,,,,,50,1,0.01,0.01,0.001
UNIT,,,,,,,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
,ID,COUNTRY,C_ID,TYPE,XCOO,YCOO,Mg,Mn,Mo,Pb,Pd
,3118,SKA,18,Ap,17.5828,48.6685,11393.45093,671.9455894,0.757134237,23.41055671,0.0005
,3119,SPA,22,Ap,-6.1542,42.5294,423.5908695,167.2400379,0.314640435,23.01791892,0.002057571
,3121,FIN,63,Ap,26.1667,62.75,5621.280518,308.9967635,0.598277847,11.2817441,0.0005
,3122,FIN,144,Ap,23.8,68.0333,5514.658813,59.09159562,0.801139032,5.454062627,0.001103208
,3124,UKR,81,Ap,24.3169,50.6548,1712.594386,503.9848599,0.15465858,14.01583201,0.001655365
,3125,SWE,25,Ap,11.5739,58.1883,2457.394161,204.1077898,0.823006833,16.69869703,0.0005
,3126,SPA,48,Ap,-2.3397,42.0981,4546.493247,299.2483487,0.849913117,16.74027336,0.0005
,3127,FIN,4,Ap,23.0667,59.8333,1063.457751,106.6381411,0.301698443,13.2215367,0.0005
,3128,SKA,14,Ap,18.3523,49.071,9942.927856,610.1395357,0.383378411,18.54213552,0.0005
,3129,HEL,81,Ap,22.4514,37.8617,6689.360352,1139.812698,0.944312282,25.28593058,0.015703197
,3130,POL,106,Ap,18.9469,50.6581,693.9158858,619.7223844,0.159429134,26.5197946,0.0005
,3131,SWE,96,Ap,19.5363,66.0461,1488.935648,213.08059,0.973273636,8.886631698,0.0005
,3132,CZR,11,Ap,15.3205,49.5347,6893.071289,841.1103846,0.35736472,24.83432974,0.0005
,3133,GER,83,Ap,8.5,50.6667,3675.209356,1138.095093,0.591052046,34.2558613,0.0005
,3134,POL,13,Ap,16.5161,53.9827,503.3777538,345.4591218,0.383183068,13.32021709,0.0005
,3135,FIN,144,ApD,23.8,68.0333,5410.510254,55.81611836,0.825506557,6.224622371,0.001964399
,3136,NOR,52,Ap,17.7686,68.9672,7200.761719,190.138917,0.497767049,5.59027011,0.00255629
,3137,FIN,20,Ap,21.5833,61.3667,1812.569468,82.64172393,0.993543713,5.730319402,0.00275168
,3138,HEL,22,Ap,21.3639,40.2892,8743.307495,504.1790253,0.60483116,16.06513298,0.005656282
,3139,SWE,162,Ap,15.3311,57.594,1580.744129,375.8352674,0.521828834,13.03108654,0.002649705
,3141,ITA,37,Ap,14.6144,40.9478,7027.25708,661.8836875,1.543965542,107.8440649,0.0005
,3142,FIN,97,Ap,24.5667,64.7167,670.7065331,54.09849689,0.078768987,1.880211282,0.0005
,3143,UNK,36,Ap,-3.1564,57.6292,407.9631595,419.1838908,0.258637735,10.75548436,0.0005
,3145,UKR,63,Ap,28.4777,50.7287,839.4822144,274.4612299,0.305532087,5.663075069,0.004391627
,3146,GER,102,Ap,7.9167,49.6667,1179.313761,1338.777771,0.430752385,15.38252671,0.002326294
,3147,PTG,28,Ap,-8.55,37.9833,5240.240479,1259.706955,0.463345337,43.11929534,0.002824322
,3148,FIN,26,ApD,27.2833,60.85,1388.951413,94.00149808,0.349148094,7.141220453,0.001957735
,3149,PTG,18,Ap,-7.3167,40,2132.000568,248.259839,0.244378285,26.78404958,0.0005
,3150,UKR,69,Ap,32.4571,50.1563,1713.521633,292.5956289,0.185362409,7.854936451,0.008593958
,3152,SWE,88,Ap,17.3055,66.3189,1509.202295,97.65683352,0.332399863,9.387580096,0.003818277
,3153,FRA,50,Ap,0.9288,48.3926,1404.748386,350.2321154,0.182140619,21.0005618,0.002628105
,3154,FIN,26,Ap,27.2833,60.85,1383.450654,96.92382615,0.393775439,7.359355878,0.003052474
,3155,SPA,49,Ap,-1.8025,42.2561,6328.109131,276.655464,1.794654763,15.51208332,0.006090355
,3156,CRO,14,Ap,15.6533,44.6853,2167.803234,1609.609833,1.334411472,33.32075193,0.008687337
,3157,HEL,51,Ap,22.5583,36.7392,3985.535324,322.1310037,0.76994484,9.79052455,0.0005
,3158,FRA,175,Ap,0.3346,44.2607,62.19661827,31.59005272,0.066580611,3.203103071,0.001714506
,3159,UNK,115,Ap,-4.7363,56.0555,5672.289429,1752.886353,1.13109973,46.01096849,0.0005
,3161,ITA,90,Ap,7.3739,44.6326,5939.041748,515.1378583,0.594458389,40.3595389,0.0005
,3162,FRA,61,Ap,5.6739,48.2233,2026.053188,727.2422036,1.142763801,23.00248539,0.002849856
,3163,UKR,256,Ap,29.8875,46.0633,5435.444336,579.1750761,0.496974968,14.82590566,0.002016979
,3164,FIN,47,Ap,29.45,61.5,1075.472441,65.36890318,0.255827918,2.170842393,0.0005
,3165,UKR,96,Ap,34.366,49.565,3082.612363,563.2655589,0.498719705,14.07961661,0.0005
,3166,UKR,115,Ap,30.3388,49.6537,1680.56497,313.3181929,0.150325846,8.299892774,0.0005
,3167,SPA,128,ApD,-1.3706,39.9794,2563.289254,216.4816533,0.294910327,10.19016561,0.0005
,3168,SPA,128,Ap,-1.3706,39.9794,3097.770699,341.1873593,0.397096346,20.9076493,0.007239106
,3169,POL,51,Ap,22.3698,52.6099,191.8766583,61.53793755,0.135814879,5.980874356,0.0005
,3170,ITA,35,Ap,15.6022,40.5719,5249.11499,604.0384803,0.551825567,12.77011718,0.004115079
,3171,FRA,162,Ap,-0.3665,44.6457,275.0090175,378.6258987,0.161121486,16.44143924,0.0005
,3172,BOS,26,Ap,16.3014,44.2764,4222.117513,1052.277679,1.310891348,35.6567727,0.003007941
,3173,SWE,48,Ap,13.5026,62.1028,1617.506024,1414.713898,6.703463277,52.36802884,0.001834321
,3174,UKR,89,Ap,29.7033,50.1862,1023.881078,226.3606569,0.090471273,6.384562423,0.0005
,3175,HEL,75,Ap,25.3847,37.0683,2277.007862,192.9888973,0.206599704,7.136423813,0.002282923
,3177,FIN,90,Ap,25.1833,64.1667,810.8106756,47.92956791,0.170914185,4.419554599,0.001807697
,3178,HEL,46,Ap,22.4347,38.4411,15136.97998,926.7444908,0.309538242,14.84235412,0.002482002
,3179,BEL,9,Ap,5.5514,50.015,3418.872091,1028.438187,0.393253119,25.76990889,0.002935327
,3181,FRA,64,Ap,3.6672,48.135,513.1795139,678.8681485,0.387706436,19.15379522,0.003815855
,3182,FOM,8,Ap,22.8279,41.8845,6530.3479,1030.623322,0.73971836,43.7205178,0.00150956
,3183,HUN,25,Ap,20.8151,47.4456,2416.274411,470.4249706,0.448546307,13.61710425,0.0005
,3184,UNK,53,Ap,-1.6411,50.7456,1210.681107,714.9669797,0.494775651,17.97504703,0.0005
,3185,FIN,6,Ap,19.8833,60.35,7083.630371,198.4280363,3.390496525,15.68775184,0.006253794
